Close,ClassificationValue
22.84,-1
23.030001,1
22.959999,1
22.809999,1
22.690001,1
22.66,-1
22.940001,-1
23.1,1
22.93,1
22.82,1
22.49,1
22.469999,-1
22.75,-1
22.790001,-1
22.85,1
22.84,1
22.82,1
22.73,1
22.68,1
22.639999,1
22.4,-1
22.43,-1
22.66,1
22.610001,-1
22.67,-1
22.879999,-1
23.01,-1
23.139999,1
23.07,-1
23.34,-1
23.379999,-1
23.42,1
23.299999,-1
23.370001,-1
23.389999,1
23.370001,-1
23.41,-1
23.49,-1
23.57,1
23.57,1
23.51,-1
23.540001,1
23.440001,-1
23.65,-1
23.690001,-1
23.77,-1
23.799999,-1
23.879999,-1
23.92,1
23.91,1
23.82,1
23.74,-1
23.860001,-1
23.98,-1
24.16,1
24.059999,-1
24.09,-1
24.200001,-1
24.25,-1
24.459999,-1
24.66,1
24.540001,-1
24.559999,1
24.549999,-1
24.610001,1
24.57,1
24.23,1
24.139999,-1
24.299999,1
24.120001,1
24.110001,-1
24.18,1
24.110001,-1
24.24,1
24.110001,1
23.92,1
23.870001,1
23.860001,1
23.74,1
23.360001,1
23.09,-1
23.16,-1
23.23,1
23.15,-1
23.18,-1
23.290001,1
23.26,-1
23.290001,-1
23.68,-1
23.709999,1
23.690001,-1
23.719999,1
23.6,-1
23.620001,-1
23.73,-1
23.75,1
23.75,-1
23.92,1
23.870001,1
23.82,-1
23.889999,-1
23.93,1
23.93,1
23.790001,1
23.780001,-1
23.99,-1
24.18,-1
24.370001,1
24.18,1
24.120001,1
24.120001,1
24.02,1
23.799999,-1
23.91,-1
23.940001,-1
24.110001,1
23.950001,1
23.65,1
23.58,1
23.41,-1
23.5,-1
23.690001,1
23.58,1
23.48,1
23.43,-1
23.540001,-1
23.549999,1
23.49,1
23.32,1
23.17,-1
23.559999,-1
23.66,-1
23.67,-1
23.809999,-1
23.860001,1
23.84,1
23.75,-1
23.780001,1
23.68,1
23.6,1
23.559999,-1
23.610001,-1
23.74,-1
23.780001,-1
23.91,1
23.889999,-1
23.940001,1
23.879999,1
23.84,-1
23.860001,1
23.799999,1
23.780001,-1
23.950001,-1
24.1,-1
24.26,-1
24.370001,1
24.23,-1
24.309999,1
24.309999,-1
24.370001,1
24.299999,-1
24.33,-1
24.43,-1
24.51,-1
24.59,1
24.559999,-1
24.6,-1
24.66,-1
24.75,-1
24.83,-1
24.959999,-1
25.120001,1
25.059999,1
25.049999,1
24.969999,1
24.959999,1
24.860001,1
24.809999,-1
24.98,-1
25.030001,-1
25.16,1
25.16,1
25.049999,1
24.85,-1
24.950001,-1
25.0,-1
25.110001,-1
25.24,1
25.16,-1
25.200001,-1
25.26,-1
25.370001,-1
25.4,-1
25.450001,1
25.43,-1
25.459999,1
25.440001,-1
25.52,-1
25.549999,1
25.52,1
25.309999,1
25.280001,1
25.280001,1
25.200001,1
24.940001,1
24.889999,-1
24.950001,-1
24.98,-1
24.99,1
24.870001,1
24.83,-1
24.940001,-1
24.969999,-1
25.030001,-1
25.15,-1
25.25,1
25.24,1
25.209999,1
25.110001,1
24.860001,1
24.690001,-1
24.719999,1
24.709999,1
24.450001,-1
24.530001,-1
24.58,1
24.51,-1
24.57,-1
24.59,-1
24.700001,-1
24.790001,-1
24.809999,1
24.73,1
24.68,1
24.540001,1
24.48,-1
24.52,1
24.5,1
24.440001,1
24.4,-1
24.58,1
24.57,1
24.549999,1
24.48,1
24.059999,1
23.91,-1
24.200001,1
24.129999,1
24.07,1
23.799999,-1
23.870001,-1
24.030001,-1
24.09,-1
24.129999,-1
24.15,1
24.15,-1
24.52,-1
24.6,-1
24.67,-1
24.77,-1
24.780001,1
24.77,1
24.65,-1
24.709999,-1
24.75,-1
24.799999,-1
25.16,-1
25.33,1
25.280001,1
25.27,-1
25.42,1
25.360001,-1
25.52,-1
25.66,-1
25.68,-1
25.74,1
25.709999,1
25.610001,-1
25.620001,-1
25.76,-1
25.93,-1
25.98,1
25.959999,-1
26.040001,1
26.040001,-1
26.07,1
26.040001,1
26.030001,-1
26.15,-1
26.299999,1
26.190001,-1
26.209999,-1
26.25,-1
26.4,-1
26.59,1
26.57,1
26.540001,-1
26.66,1
26.48,1
26.370001,1
26.33,1
26.08,1
25.860001,-1
26.02,-1
26.08,-1
26.129999,1
26.02,1
26.01,-1
26.139999,1
26.09,-1
26.120001,1
26.07,1
26.02,-1
26.049999,-1
26.129999,-1
26.200001,-1
26.379999,-1
26.51,-1
26.540001,1
26.42,1
26.15,-1
26.51,1
25.690001,1
25.620001,-1
25.639999,-1
25.74,1
25.65,1
25.5,1
25.48,-1
25.57,-1
25.629999,-1
25.75,-1
25.91,-1
25.950001,1
25.9,-1
25.93,-1
26.0,1
25.780001,-1
25.790001,-1
25.84,1
25.83,-1
25.91,-1
26.120001,-1
26.129999,-1
26.18,-1
26.219999,-1
26.33,1
26.24,1
26.219999,1
26.18,1
26.02,-1
26.17,1
26.1,1
25.950001,-1
25.99,1
25.610001,1
25.290001,1
25.25,1
25.23,1
24.610001,-1
24.709999,-1
24.93,1
24.879999,1
24.82,1
24.77,-1
24.860001,-1
